article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,closure_type
Why Pennsylvania leads the country in hospital closures — and what it will take to stop it,2025-10-23T11:08:30-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/why-pennsylvania-leads-the-country-in-hospital-closures-and-what-it-will-take-to-stop-it/,1,Active Closure,,,,,,PA,Pennsylvania,"Financial pressure, reimbursement shortfalls, workforce shortages, and high-severity malpractice settlements.",,"Pennsylvania has experienced the highest number of hospital closures in the country this year, with 22 reported closures, four of which were in Pennsylvania. The challenges leading to these closures include financial pressures and a difficult legal environment.",closure,hospital_closure
Texas hospital to close,2025-10-22T16:47:42-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/texas-hospital-to-close-3/,1,Planned Closure,Kell West Regional Hospital,,,,,TX,Wichita Falls,"Review of the evolving healthcare landscape, including cost of infrastructure needs and care, patient volumes and reimbursement rates.",,"Kell West Regional Hospital in Wichita Falls, Texas, will close after more than 25 years of service. The hospital will wind down operations in the coming weeks and work with United Regional Health Care System to ensure continued care.",closure,hospital_closure
New Jersey hospital to deploy financial stabilization plan,2025-10-22T13:27:52-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/new-jersey-hospital-to-deploy-financial-stabilization-plan/,1,Planned Closure,Heights University Hospital,,,,,NJ,Jersey City,Financial challenges and lack of funding.,The hospital is losing $1.5 million per week and may suspend services without funding.,Heights University Hospital plans to wind down a limited number of nonessential services due to financial challenges. The hospital is losing $1.5 million per week and faces potential closure without state funding.,closure,service_line_closure
Kettering Health hospital to consolidate obstetric services,2025-10-21T10:19:52-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/kettering-health-hospital-to-consolidate-obstetrics-services/,1,Planned Closure,Kettering Health,,,,,OH,"Beavercreek, Dayton",Consolidation of obstetric services due to declining birthing rates.,,"Kettering Health plans to end obstetric services at Soin Medical Center in Beavercreek, Ohio, and transition them to Kettering Health Main Campus and Kettering Health Washington Township in Dayton. This decision is driven by national and regional trends of birthing rate declines.",closure,service_line_closure
"'We are not walking away': MetroHealth to close psychiatric ED, redeploy staff",2025-10-21T08:47:54-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/we-are-not-walking-away-metrohealth-to-close-psychiatric-ed-redeploy-staff/,1,Planned Closure,MetroHealth,,,,2025-12-31,OH,Cleveland Heights,Loss of funding and potential service duplication with a new crisis center.,35 employees reassigned to other services.,"MetroHealth plans to close its psychiatric emergency department at the Cleveland Heights Medical Center by December 31, 2025, due to funding loss and service duplication concerns. The closure will result in the reassignment of 35 employees to other behavioral health services.",closure,unit_closure
Healthcare disruptions mount as shutdown enters day 20,2025-10-20T19:15:38-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/healthcare-disruptions-mount-as-shutdown-enters-day-20/,1,Active Closure,hospitals,,,,2023-10-01,,,Medicare telehealth services halted due to expired flexibilities.,About 30% of hospitals have halted Medicare telehealth services.,"As of October 1, about 30% of hospitals have halted Medicare telehealth services due to expired flexibilities, leading to operational strain and patient transfers to traditional facilities.",closure,service_line_closure
OSF HealthCare advances regional care plan,2025-10-20T09:49:39-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/osf-healthcare-advances-regional-care-plan/,1,Planned Closure,OSF HealthCare,,,,,IL,"Ottawa, Peru",Consolidation of ICU and inpatient obstetrics services,,"OSF HealthCare plans to consolidate ICU and inpatient obstetrics services from Ottawa to its Peru hospital, pending state approval. The current hospital in Ottawa will continue to deliver health care services, including a full-service emergency department.",closure,unit_closure
"Legacy Health to cut services, clinics amid financial pressures",2025-10-20T09:26:24-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/legacy-health-to-cut-services-clinics-amid-financial-pressures/,1,Planned Closure,Legacy Health,,,,2026-01-09,"OR,WA","Portland, Vancouver",Financial pressures and inadequate reimbursement.,,"Legacy Health is closing multiple services and clinics due to financial pressures. The Legacy Devers Eye Institute at Emanuel Medical Center in Portland will close on January 9, and the outpatient neuro-rehabilitation program will end in 2026. Additionally, the Legacy Salmon Creek Pain Clinic in Vancouver will close on March 20.",closure,service_line_closure
"Legacy Health to cut services, clinics amid financial pressures",2025-10-20T09:26:24-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/legacy-health-to-cut-services-clinics-amid-financial-pressures/,2,Planned Closure,Legacy Health,,,,2026-01-09,OR,Portland,Financial pressures and inadequate reimbursement.,,"The cardiac and pulmonary rehabilitation program at Legacy Good Samaritan Medical Center in Portland will end on January 9, 2026, as part of Legacy Health's response to ongoing financial challenges.",closure,service_line_closure
"Legacy Health to cut services, clinics amid financial pressures",2025-10-20T09:26:24-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/legacy-health-to-cut-services-clinics-amid-financial-pressures/,3,Planned Closure,Legacy Health,,,,2026-03-20,WA,Vancouver,Financial pressures and inadequate reimbursement.,,"The Legacy Salmon Creek Pain Clinic in Vancouver, Washington, will close on March 20, 2026, due to financial pressures faced by Legacy Health.",closure,service_line_closure
"Legacy Health to cut services, clinics amid financial pressures",2025-10-20T09:26:24-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/legacy-health-to-cut-services-clinics-amid-financial-pressures/,4,Planned Closure,Legacy Health,,,,,OR,Oregon,Financial pressures and inadequate reimbursement.,,Legacy-GoHealth will close all of its Washington-based clinics and its Pearl District and Williams clinics in Oregon as part of its operational changes.,closure,office_closure
New Jersey hospital losing $1.5M a week faces possible closure,2025-10-17T15:30:00-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/new-jersey-hospital-losing-1-5m-a-week-faces-possible-closure/,1,Planned Closure,Heights University Hospital,,,,,NJ,"Jersey City, NJ",Lack of financial support leading to unsustainable losses.,"Sixty-five percent of patients are uninsured, low-income, or otherwise vulnerable residents.",Heights University Hospital in Jersey City is facing a planned closure due to ongoing financial losses of $1.5 million per week. The hospital is exploring options for long-term stability but may suspend services if additional state funding is not secured.,closure,hospital_closure
'This is always fixable': 1 struggling California hospital sees silver lining,2025-10-17T08:00:00-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/this-is-always-fixable-1-struggling-california-hospital-sees-silver-lining/,1,Planned Closure,Southern Inyo Healthcare District,,,,,CA,"Lone Pine, Inyo County",Financial difficulties leading to layoffs and furloughs.,Approximately 6% of the workforce laid off; no ongoing services affected.,"Southern Inyo Healthcare District is facing financial challenges, leading to a planned closure of some operations. The hospital has laid off around 6% of its workforce, but ongoing services remain unaffected. The facility is working on financial recovery strategies.",closure,facility_closure
Allegheny Health Network's only hospital outside Pennsylvania to convert to REH,2025-10-16T11:37:45-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/allegheny-health-networks-only-hospital-outside-pennsylvania-to-convert-to-reh/,1,Planned Closure,AHN Westfield Memorial Hospital,,,,,NY,"Westfield, Chautauqua County",Transitioning to a rural emergency hospital model to ensure financial and operational stability.,"The hospital admits just 120 to 150 inpatients a year, with most patients requiring overnight stays being transferred to another facility.","AHN Westfield Memorial Hospital is transitioning to a rural emergency hospital model to maintain healthcare access in the region. This change is planned to ensure long-term stability and will affect how patients are treated, with most requiring overnight stays being transferred to AHN Saint Vincent Hospital.",closure,facility_closure
Michigan hospital to end overnight emergency surgeries,2025-10-16T09:24:45-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/michigan-hospital-to-end-overnight-emergency-surgeries/,1,Planned Closure,Aspirus Iron River Hospital,,,,2025-10-26,MI,,Transitioning to a day-only schedule due to a decline in after-hours cases.,Only five emergency after-hours cases this year.,"Aspirus Iron River Hospital will end overnight emergency surgeries effective October 26, transitioning to a day-only schedule. This decision follows a significant decline in after-hours cases, with only five reported this year, and aims to preserve other essential services.",closure,service_line_closure
Michigan hospital to end overnight emergency surgeries,2025-10-16T09:24:45-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/michigan-hospital-to-end-overnight-emergency-surgeries/,2,Planned Closure,Aspirus Ironwood Hospital and Clinics,,,,2025-12-31,MI,,Part of a new service model at the Michigan facility.,,Aspirus plans to end labor and delivery services at its Ironwood Hospital and Clinics on December 31 as part of a new service model.,closure,service_line_closure
CMS walks back Medicare payment pause,2025-10-16T07:44:56-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/cms-walks-back-medicare-payment-pause/,1,Active Closure,,,,,,,hospitals and health systems across the country,Lapse of provisions for telehealth services due to the federal government shutdown.,About 30% of hospitals have halted Medicare telehealth services.,"Due to the ongoing federal government shutdown, about 30% of hospitals have halted Medicare telehealth services. This disruption is linked to the expiration of provisions for non-behavioral telehealth visits, affecting hospitals and health systems nationwide.",closure,service_line_closure
